plate,brand,model,year,color,renavam,active
DPB6F96,RANDON,SR FG,2005,PRATA,00856289302,true
DPC4990,MERCEDES BENZ,AXOR 2035 S,2006,BRANCA,00906250676,true
DPC5B07,FACCHINI,FACCHINI SRF LO,2010,CINZA,00225004267,true
DPE3I40,VOLKSWAGEN,19.320 CLC TT,2006,VERMELHA,00890224757,true
DPE9F94,VOLVO,VM 260 6X2R,2008,AZUL,00975642260,true
DRM2530,SCANIA,P320 B8X2,2019,BRANCA,01216000457,true
DVS2F37,VOLKSWAGEN,13 180 EURO3 WORKER,2010,BRANCA,00201443686,true
DWJ3875,VOLKSWAGEN,9 150E CUMMINS,2008,BRANCA,00956926320,true
EBF0C31,MERCEDES BENZ,AXOR 2544 LS,2021,BRANCA,01292574051,true
EFO2I36,FACCHINI,FACCHINI SRF LO,2010,AZUL,00200280902,true
